country,year,age,gender
AD,2005,0-4,m
AD,2006,0-4,m
AD,2008,0-4,m
AE,2006,0-4,m
AE,2007,0-4,m
AE,2008,0-4,m
AG,2007,0-4,m
AL,2005,0-4,m
AL,2006,0-4,m
AL,2007,0-4,m
AL,2008,0-4,m
AM,2005,0-4,m
AM,2006,0-4,m
AM,2007,0-4,m
AM,2008,0-4,m
AN,2006,0-4,m
AR,2006,0-4,m
AR,2007,0-4,m
AR,2008,0-4,m
AT,2005,0-4,m
AT,2006,0-4,m
AU,2006,0-4,m
AU,2007,0-4,m
AZ,2005,0-4,m
AZ,2006,0-4,m
BA,2005,0-4,m
BA,2006,0-4,m
BA,2007,0-4,m
BA,2008,0-4,m
BB,2007,0-4,m
BB,2008,0-4,m
BE,2005,0-4,m
BE,2006,0-4,m
BE,2007,0-4,m
BE,2008,0-4,m
BF,2007,0-4,m
BG,2005,0-4,m
BG,2007,0-4,m
BG,2008,0-4,m
BH,2008,0-4,m
BI,2007,0-4,m
BN,2007,0-4,m
BN,2008,0-4,m
BR,2006,0-4,m
BR,2007,0-4,m
BR,2008,0-4,m
BS,2007,0-4,m
BS,2008,0-4,m
BW,2008,0-4,m
BZ,2006,0-4,m
BZ,2007,0-4,m
BZ,2008,0-4,m
CA,2006,0-4,m
CA,2007,0-4,m
CA,2008,0-4,m
CH,2005,0-4,m
CH,2006,0-4,m
CH,2007,0-4,m
CH,2008,0-4,m
CK,2006,0-4,m
CL,2006,0-4,m
CL,2007,0-4,m
CL,2008,0-4,m
CM,2008,0-4,m
CR,2006,0-4,m
CR,2007,0-4,m
CU,2008,0-4,m
CV,2008,0-4,m
CY,2005,0-4,m
CY,2006,0-4,m
CY,2007,0-4,m
CY,2008,0-4,m
CZ,2005,0-4,m
CZ,2006,0-4,m
CZ,2007,0-4,m
CZ,2008,0-4,m
DE,2005,0-4,m
DE,2006,0-4,m
DE,2007,0-4,m
DE,2008,0-4,m
DJ,2007,0-4,m
DK,2005,0-4,m
DK,2006,0-4,m
DK,2007,0-4,m
DK,2008,0-4,m
DM,2006,0-4,m
DM,2007,0-4,m
DM,2008,0-4,m
DO,2008,0-4,m
EE,2005,0-4,m
EE,2006,0-4,m
EE,2007,0-4,m
EE,2008,0-4,m
EG,2006,0-4,m
EG,2008,0-4,m
ER,2007,0-4,m
ES,2005,0-4,m
ES,2006,0-4,m
ES,2007,0-4,m
ES,2008,0-4,m
FI,2005,0-4,m
FI,2006,0-4,m
FI,2007,0-4,m
FI,2008,0-4,m
FJ,2006,0-4,m
FM,2006,0-4,m
FM,2008,0-4,m
FR,2005,0-4,m
FR,2006,0-4,m
FR,2007,0-4,m
FR,2008,0-4,m
GA,2008,0-4,m
GB,2005,0-4,m
GB,2006,0-4,m
GB,2007,0-4,m
GB,2008,0-4,m
GD,2006,0-4,m
GE,2005,0-4,m
GE,2006,0-4,m
GE,2007,0-4,m
GE,2008,0-4,m
GM,2006,0-4,m
GM,2008,0-4,m
GR,2005,0-4,m
GR,2006,0-4,m
GR,2007,0-4,m
GR,2008,0-4,m
GT,2007,0-4,m
GT,2008,0-4,m
GU,2007,0-4,m
GU,2008,0-4,m
GY,2008,0-4,m
HK,2005,0-4,m
HK,2006,0-4,m
HK,2007,0-4,m
HK,2008,0-4,m
HN,2006,0-4,m
HN,2007,0-4,m
HN,2008,0-4,m
HR,2005,0-4,m
HR,2006,0-4,m
HR,2008,0-4,m
HT,2007,0-4,m
HT,2008,0-4,m
HU,2005,0-4,m
HU,2006,0-4,m
HU,2007,0-4,m
HU,2008,0-4,m
ID,2007,0-4,m
ID,2008,0-4,m
IE,2005,0-4,m
IE,2006,0-4,m
IE,2007,0-4,m
IE,2008,0-4,m
IL,2005,0-4,m
IL,2006,0-4,m
IL,2007,0-4,m
IL,2008,0-4,m
IQ,2006,0-4,m
IQ,2007,0-4,m
IQ,2008,0-4,m
IR,2006,0-4,m
IR,2007,0-4,m
IR,2008,0-4,m
IS,2005,0-4,m
IS,2006,0-4,m
IS,2007,0-4,m
IS,2008,0-4,m
IT,2005,0-4,m
IT,2006,0-4,m
IT,2007,0-4,m
IT,2008,0-4,m
JM,2006,0-4,m
JM,2007,0-4,m
JM,2008,0-4,m
JO,2006,0-4,m
JO,2007,0-4,m
JO,2008,0-4,m
JP,2007,0-4,m
JP,2008,0-4,m
KE,2007,0-4,m
KE,2008,0-4,m
KG,2005,0-4,m
KI,2007,0-4,m
KI,2008,0-4,m
KM,2006,0-4,m
KM,2008,0-4,m
KN,2008,0-4,m
KP,2008,0-4,m
KR,2006,0-4,m
KR,2007,0-4,m
KR,2008,0-4,m
KW,2007,0-4,m
KW,2008,0-4,m
KY,2006,0-4,m
KY,2007,0-4,m
KZ,2005,0-4,m
KZ,2007,0-4,m
KZ,2008,0-4,m
LB,2006,0-4,m
LB,2007,0-4,m
LB,2008,0-4,m
LC,2008,0-4,m
LR,2008,0-4,m
LS,2007,0-4,m
LS,2008,0-4,m
LT,2005,0-4,m
LT,2006,0-4,m
LT,2007,0-4,m
LT,2008,0-4,m
LU,2005,0-4,m
LU,2006,0-4,m
LU,2007,0-4,m
LU,2008,0-4,m
LV,2005,0-4,m
LV,2006,0-4,m
LV,2008,0-4,m
LY,2006,0-4,m
LY,2008,0-4,m
MA,2006,0-4,m
MA,2007,0-4,m
MA,2008,0-4,m
MD,2005,0-4,m
MD,2007,0-4,m
MD,2008,0-4,m
ME,2005,0-4,m
ME,2006,0-4,m
ME,2007,0-4,m
ME,2008,0-4,m
MG,2007,0-4,m
MG,2008,0-4,m
MH,2007,0-4,m
MH,2008,0-4,m
MK,2005,0-4,m
MK,2006,0-4,m
MK,2007,0-4,m
MK,2008,0-4,m
ML,2008,0-4,m
MO,2007,0-4,m
MO,2008,0-4,m
MP,2007,0-4,m
MP,2008,0-4,m
MT,2005,0-4,m
MT,2006,0-4,m
MT,2007,0-4,m
MT,2008,0-4,m
MU,2007,0-4,m
MU,2008,0-4,m
MV,2006,0-4,m
MV,2007,0-4,m
MV,2008,0-4,m
MW,2007,0-4,m
MW,2008,0-4,m
MX,2006,0-4,m
MX,2007,0-4,m
MX,2008,0-4,m
MY,2006,0-4,m
MY,2007,0-4,m
MY,2008,0-4,m
NC,2008,0-4,m
NE,2008,0-4,m
NI,2006,0-4,m
NI,2007,0-4,m
NL,2005,0-4,m
NL,2006,0-4,m
NL,2007,0-4,m
NL,2008,0-4,m
NO,2005,0-4,m
NO,2006,0-4,m
NO,2008,0-4,m
NP,2006,0-4,m
NP,2007,0-4,m
NR,2006,0-4,m
NR,2007,0-4,m
NR,2008,0-4,m
NU,2006,0-4,m
NU,2007,0-4,m
NZ,2006,0-4,m
NZ,2007,0-4,m
NZ,2008,0-4,m
OM,2006,0-4,m
OM,2008,0-4,m
PA,2008,0-4,m
PE,2006,0-4,m
PE,2007,0-4,m
PE,2008,0-4,m
PF,2008,0-4,m
